EmployeeID,FirstName,LastName,Stream,Password,Admin
170137,Michael,Campbell,ABIAP,$2a$10$dJNk3989b4LN6l90/A0nbeIyrTI9eI9URSvwqjzFjyDmqeBpT.3ku,true
386804,Stephanie,Wagner,Mobility,$2a$10$qR3BQH80tww7DG1rTootDevH9MSa1zd8pcfFcIi.lytAuhNY96CKq,false
868842,Thomas,Simpson,Mobility,$2a$10$LsPhoLVRc6UkSgICYcMeDuc3zy3sSQfjvuJTwg98JBiWDRhRtaSh6,true
543135,Betty,Lynch,BigData,$2a$10$dq1qtiLjlTbpOdrL84ftw.jMZUVN154tB9tBbebqahCZT6gSDkQy2,true
430971,Lisa,Brown,BigData,$2a$10$TMFHT3S.GWctUGbzpu2gZOckcDZvwa2K0Y8xiuKt.8.vpgW3G0Ft6,false
272472,Gerald,West,Mobility,$2a$10$L1ASmyuhEwrP/ei5vcuYbuUWRJ2GdQjeD5WyyuHonQVZC6SQs.wn6,true
187646,Albert,Moore,BigData,$2a$10$xoAmHo9VClXyL325dliFz.jb.jqfQM1Igkqef0IuNX2WaPFLCeCZy,false
176548,Gerald,Marshall,BigData,$2a$10$42L8PkuMgNRFQpWsNDaMeeDWD0ewoOvPrYnrg1dglBxGdGl2psgeq,true
224768,Robert,Dixon,BigData,$2a$10$bfgz4A2qOazZcnSsVNT9QebXobahMKXv/yCJPrw4w2W1nUDPKamuW,true
396854,Eric,Hansen,BigData,$2a$10$PI40HiFgKY8tqNdhT5QggOio02eM6/nsVqNcfsPiv3G9uVo859kGW,false
374647,Emily,Palmer,Mobility,$2a$10$u2pjZ4AUS3vz0sbJ5wqPKuaR1/JmP6PjLgrAkPq25DHmKxlQ2XlEK,true
825899,Dennis,Gilbert,Mobility,$2a$10$cG8XRbO47hhjI01aXsOh/eI7xsGQZIHAfFuUIpDWuVXg8thr8SnxC,true
782077,Cheryl,Fowler,BigData,$2a$10$ZRSAZrVLwQoLKYG6jdwREeICg.9Ty2WoIElROnirsHUzKA5qYxMY6,false
914036,Benjamin,Carroll,ABIAP,$2a$10$P/E0hYFmFC8HY7ilptfgWuW7efbNZHMj1yk6NS5Mguq4vgKQfndrq,false
800496,Brenda,Duncan,ABIAP,$2a$10$sK3D8HWd2PXCfPiw.9yWnua8mZgYg3NIsKTe9sabnvBwySeRmEowm,true
